Results Table 1,,
,Specimen label,Specimen note 1
1,400,
,,
Time,Displacement,Force
(s),(mm),(N)
4.58,30.2104,871.0588
4.6,30.3437,870.9819
4.62,30.477,870.9135
4.64,30.6103,870.8049
4.66,30.7437,870.7283
4.68,30.8771,870.6974
4.7,31.0105,870.5893
4.72,31.1437,870.4412
4.74,31.277,870.4499
4.76,31.4104,870.3643
4.78,31.5437,870.4014
4.8,31.677,870.3323
4.82,31.8104,870.3129
4.84,31.9438,870.28
4.86,32.0771,870.2243
4.88,32.2104,870.1406
4.9,32.3436,870.1226
4.92,32.477,870.1473
4.94,32.6104,870.1117
4.96,32.7438,870.1504
4.98,32.8771,870.1301
5,33.0104,870.1008
5.02,33.1437,870.0323
5.04,33.2771,870.1478
5.06,33.4104,870.0963
5.08,33.5437,870.0818
5.1,33.6771,870.1128
5.12,33.8105,870.1336
5.14,33.9438,870.2502
5.16,34.0769,870.1707
5.18,34.2101,870.1639
5.2,34.3436,870.1647
5.22,34.4771,870.2064
5.24,34.6105,870.1616
5.26,34.7437,870.1509
5.28,34.877,870.1131
5.3,35.0104,870.143
5.32,35.1436,870.1961
5.34,35.2769,870.202
5.36,35.4103,870.3049
5.38,35.5437,870.2428
5.4,35.6771,870.2469
5.42,35.8104,870.2284
5.44,35.9436,870.2908
5.46,36.077,870.2914
5.48,36.2104,870.3368
5.5,36.3438,870.32
5.52,36.4771,870.3698
5.54,36.6104,870.4373
5.56,36.7438,870.4639
5.58,36.8771,870.565
5.6,37.0104,870.5897
5.62,37.1437,870.726
5.64,37.277,870.6918
5.66,37.4104,870.7801
5.68,37.5437,870.8593
5.7,37.677,870.9908
5.72,37.8104,871.0784
5.74,37.9438,871.1133
5.76,38.0772,871.1223
5.78,38.2104,871.1662
5.8,38.3436,871.3149
5.82,38.4769,871.3038
5.84,38.6103,871.4683
5.86,38.7437,871.5019
5.88,38.877,871.6181
5.9,39.0104,871.6352
5.92,39.1438,871.6719
5.94,39.2771,871.716
5.96,39.4103,871.761
5.98,39.5436,871.8671
6,39.677,871.9561
6.02,39.8104,872.0658
6.04,39.9437,872.1006
6.06,40.077,872.2004
6.08,40.2103,872.2396
6.1,40.3437,872.4088
6.12,40.4771,872.422
6.14,40.6104,872.4738
6.16,40.7437,872.545
6.18,40.877,872.5721
6.2,41.0104,872.7125
6.22,41.1437,872.7966
